candidate,adv_floor,h1,h2,h3,h4,h5,pass_all,oos_cagr,oos_sharpe,avg_holdings,p10_holdings
L20,20000000.0,True,False,False,False,True,False,18.814201107330987,0.8420719867020722,24.627450980392158,12.0
L50,50000000.0,True,False,False,False,False,False,19.416879837091017,0.8091886480935082,16.71372549019608,7.0
L100,100000000.0,False,False,False,False,False,False,18.17088883650173,0.6860324427410773,11.61023622047244,4.0
