stock_id,name,industry,close,adv20,listed_ok,pe_hist_pct,value_pct,revenue_yoy,rev_month,bear_regime,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,composite,revenue_yoy_pool_pct,c2_score
2330,台積電,半導體,2405.0,99719793678.75,True,97.12269272529859,5.478980013783598,67.87,2026-06-01,False,7.751937984496124,-1.4344262295081966,-0.10157828957524985,95.81673306772909,29.383333333333333,6.583427922814983,72.0771850170261,9.307604994324631,95.34619750283768,90.12485811577753,54.68785471055619,83.7129840546697,53.39135611582407
2327,國巨*,電子零組件,578.0,39486389296.325,True,97.50271444082519,4.2384562370778776,38.91,2026-06-01,False,7.3426573426573425,-36.13259668508287,-0.03373519970008071,50.70175438596492,2.7733333333333334,6.072644721906924,1.70261066969353,28.717366628830877,4.540295119182747,45.40295119182747,17.28717366628831,67.53986332574033,44.11254812428412
2408,南亞科,半導體,445.0,36784929987.975,True,54.50819672131148,52.51550654720882,621.34,2026-06-01,False,70.54263565891473,10.421836228287841,-0.0040153881190685475,88.11881188118812,-68.26333333333332,71.50964812712827,94.09761634506243,44.38138479001135,84.22247446083996,2.9511918274687856,59.43246311010216,98.9749430523918,65.1523623238244
2454,聯發科,半導體,4000.0,36306903620.5,True,98.58849077090119,2.2742935906271535,2.8,2026-06-01,False,3.10077519379845,-0.7444168734491315,-0.029234309074219873,86.20689655172413,1.583333333333333,2.383654937570942,74.00681044267877,31.101021566401815,79.79568671963678,40.52213393870602,45.56186152099887,19.020501138952163,31.79825808837028
3037,欣興,印刷電路板,969.0,24982107007.15,True,86.64495114006515,23.569951757408685,36.31,2026-06-01,False,56.41025641025641,15.357142857142858,-0.0008973364853837573,89.30875576036867,4.20333333333334,56.75368898978434,96.93530079455165,46.53802497162315,86.37911464245175,51.19182746878547,67.55959137343926,65.60364464692483,52.950286871152315
2308,台達電,電子零組件,1650.0,23721360060.25,True,91.36807817589576,16.95382494831151,55.43,2026-06-01,False,30.069930069930066,-12.698412698412698,-0.06967136734009562,65.47619047619048,7.763333333333335,30.192962542565265,32.576617480136214,16.458569807037456,27.24177071509648,62.769580022701476,33.84790011350738,78.35990888382688,50.804506165338104
2303,聯電,半導體,122.0,23469871150.575,True,70.52117263843648,41.075120606478286,22.85,2026-06-01,False,59.68992248062015,-21.29032258064516,-0.07073249632378215,68.34733893557423,5.706666666666667,59.818388195232686,12.031782065834278,15.891032917139613,34.96027241770715,56.75368898978434,35.89103291713961,48.9749430523918,57.93045539987434
4958,臻鼎-KY,印刷電路板,488.0,20986944392.275,True,97.71986970684038,3.652653342522398,32.83,2026-06-01,False,7.6923076923076925,-10.948905109489052,-0.015928982673995826,75.54179566563467,5.476666666666663,6.3564131668558455,38.47900113507378,37.911464245175935,55.73212258796821,55.73212258796821,38.842224744608394,61.84510250569476,46.36365928136126
1303,南亞,石化,177.0,19887897165.45,True,80.43478260869566,31.77119228118539,31.79,2026-06-01,False,37.5,6.306306306306306,-0.03801390017277944,77.80219780219781,4.263333333333328,37.57094211123723,88.7627695800227,26.787741203178207,61.29398410896708,51.53234960272418,53.18955732122588,60.250569476082006,42.5881815290659
2344,華邦電,半導體,169.0,19600576911.8,True,65.66552901023891,44.658855961405926,189.88,2026-06-01,False,62.7906976744186,-2.8735632183908044,-0.015948725020323438,76.12612612612612,5.190000000000026,63.33711691259932,66.74233825198638,37.79795686719637,57.094211123723035,54.029511918274686,55.800227014755954,95.55808656036446,62.311769086175104
8046,南電,印刷電路板,1060.0,18907116228.2,True,90.39755351681957,18.26326671261199,50.03,2026-06-01,False,43.58974358974359,2.912621359223301,-0.00409242598260297,74.91166077738515,8.256666666666668,43.81384790011351,83.42792281498296,44.154370034052214,54.37003405221339,64.24517593643587,58.00227014755959,75.22779043280183,47.49593739253644
3481,群創,光電及I/O,47.8,18595950014.822502,True,90.26128266033254,18.676774638180564,17.25,2026-06-01,False,24.242424242424242,-25.545171339563872,0.0013865288342333113,67.41889985895627,4.143333333333333,24.6311010215664,7.71850170261067,47.90011350737798,32.122587968217935,50.96481271282634,32.667423382519864,42.14123006833713,47.7941043388777
3231,緯創,電腦及週邊,193.0,16519458230.7,True,78.99022801302932,32.736044107512065,53.85,2026-06-01,False,35.08771929824561,24.115755627009648,0.14945172166522896,98.97435897435898,-14.509999999999998,35.414301929625424,99.20544835414302,91.94097616345063,98.07037457434733,12.712826333711691,67.46878547105561,77.90432801822324,53.04588904201324
3711,日月光投控,半導體,593.0,15212859619.5,True,97.6216814159292,3.9283252929014476,32.86,2026-06-01,False,6.976744186046512,-8.90937019969278,-0.0581589383031009,81.56808803301237,5.976666666666663,5.788876276958002,46.76503972758229,20.43132803632236,70.48808172531214,57.77525539160045,40.249716231555055,62.01594533029613,47.88196590124599
