stock_id,name,industry,close,adv20,pe_hist_pct,value_pct,revenue_yoy,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,revenue_yoy_pool_pct,composite,c2_score
5386,青雲,電子通路,520.0,973052250.0,1.322314049586777,94.90579204466155,412.79,100.0,-9.565217391304348,-0.011880488269037327,87.68971332209107,-42.15666666666664,98.61538461538461,24.0,42.769230769230774,71.48717948717949,4.512820512820513,97.53846153846155,48.276923076923076,85.91025641025641
3025,星通,通信網路,67.1,59027220.0,16.584022038567493,83.39148639218423,134.59,89.13043478260869,-11.125827814569544,-0.0751256129305648,85.15228426395939,35.64666666666666,88.51282051282051,20.0,10.358974358974358,61.846153846153854,93.74358974358974,93.02564102564102,54.89230769230769,80.84615384615385
2451,創見,半導體,278.5,2467297025.0,0.6060606060606061,96.75505931612003,469.83,98.4126984126984,-13.50931677018633,-0.12060938658205131,76.61623108665749,-11.779999999999973,96.82051282051282,13.948717948717949,3.3846153846153846,37.02564102564103,14.974358974358976,97.94871794871794,33.23076923076923,79.46153846153845
3135,凌航,半導體,186.0,753599975.0,0.0,99.3370551290998,234.47,100.0,-25.6,-0.05548317989693706,71.40115163147792,-93.1333333333333,98.61538461538461,1.948717948717949,16.82051282051282,24.615384615384617,2.769230769230769,96.3076923076923,28.953846153846154,79.39743589743588
8271,宇瞻,半導體,198.0,923527100.0,21.26721763085399,80.39078855547803,224.43,95.23809523809523,-16.455696202531644,-0.06617493648826106,76.00767754318618,-68.22333333333336,94.46153846153847,9.435897435897436,13.435897435897438,35.794871794871796,3.1794871794871797,96.0,31.261538461538464,79.2051282051282
4967,十銓,半導體,265.0,2541274200.0,0.5563282336578581,96.85973482205164,112.59,99.20634920634922,-2.0332717190388205,-0.010168632639846851,87.02791461412151,8.693333333333356,97.12820512820512,44.30769230769231,44.30769230769231,69.53846153846153,69.43589743589743,91.07692307692308,64.94358974358974,78.35897435897435
3702,大聯大,電子通路,106.5,1493928950.0,64.24242424242425,50.73272854152129,82.91,76.0,-12.345679012345679,0.044714479186820054,86.23481781376519,32.83333333333334,75.48717948717949,16.923076923076923,77.94871794871796,66.46153846153847,92.61538461538461,87.58974358974359,65.8871794871795,78.15384615384616
2851,中再保,產險,37.15,112702595.0,2.1487603305785123,93.9288206559665,1113.15,100.0,5.539772727272707,-0.07019193632348743,91.61528976572133,553.9733333333334,98.61538461538461,70.76923076923077,11.794871794871794,83.58974358974359,99.7948717948718,99.58974358974359,72.9128205128205,77.75641025641026
2820,華票,票券公司,17.8,51486005.0,1.487603305785124,94.59176552686671,89.4,94.59176552686671,6.586826347305408,0.2810923727518215,99.71988795518207,28.69333333333342,93.74358974358974,74.46153846153845,99.38461538461539,98.35897435897436,90.76923076923077,89.33333333333333,91.34358974358973,76.74358974358975
5522,遠雄,建設,64.1,170109055.0,6.336088154269973,90.30006978367062,191.64,88.13559322033898,-10.972222222222229,-0.11193964574677455,77.98053527980534,-125.52666666666681,87.58974358974359,20.410256410256412,4.512820512820513,41.23076923076923,2.358974358974359,95.17948717948718,31.220512820512823,75.8974358974359
