stock_id,name,industry,close,day_change_pct,adv20,listed_ok,pe_hist_pct,value_pct,revenue_yoy,rev_month,bear_regime,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,composite,revenue_yoy_pool_pct,c2_score
2330,台積電,半導體,2475.0,3.7735849056603765,45749904804.0,True,84.8175965665236,17.885375494071145,67.87,2026-06-01,False,29.545454545454547,4.430379746835443,0.006515586111676362,98.60557768924303,29.383333333333333,29.94152046783626,56.72514619883041,53.567251461988306,91.81286549707602,90.04683840749415,64.41872440664503,83.07873090481786,62.02699266772493
2408,南亞科,半導體,503.0,8.055853920515577,39840708083.175,True,61.111111111111114,37.285902503293805,621.34,2026-06-01,False,53.78787878787878,10.065645514223196,0.032282498999926135,92.97597042513863,-68.26333333333332,54.61988304093567,71.11111111111111,65.02923976608187,83.74269005847952,3.161592505854801,55.53290329649259,98.82491186839013,66.51909346417355
2454,聯發科,半導體,5285.0,19.300225733634303,34708597852.25,True,99.94635193133047,0.230566534914361,2.8,2026-06-01,False,1.5151515151515151,35.51282051282051,0.02807114858922746,100.0,1.583333333333333,0.7017543859649122,92.28070175438596,63.62573099415205,96.78362573099415,40.5152224824356,58.781407069586535,19.153936545240892,31.089653726953497
2327,國巨*,電子零組件,580.0,8.007448789571692,26712050932.2,True,96.45922746781116,5.797101449275362,38.91,2026-06-01,False,10.526315789473683,7.4074074074074066,-0.05223970637869699,50.877192982456144,2.7733333333333334,9.53216374269006,64.91228070175438,25.146198830409354,5.380116959064328,45.140515222482435,30.022255091280112,66.62749706227967,29.15687426556992
3037,欣興,印刷電路板,1185.0,24.60567823343849,25675742082.1,True,87.23175965665236,15.974967061923584,36.31,2026-06-01,False,47.61904761904761,24.083769633507853,0.12338261808222895,100.0,4.20333333333334,49.005847953216374,86.78362573099415,90.17543859649123,96.78362573099415,50.35128805620609,74.6199652135804,64.5123384253819,55.87954659464957
2344,華邦電,半導體,171.5,7.523510971786829,24284155515.9,True,43.44317417619368,51.515151515151516,189.88,2026-06-01,False,70.45454545454545,4.892966360856269,-0.004886229782149714,77.25225225225225,5.190000000000026,70.29239766081872,57.77777777777777,47.01754385964912,50.76023391812865,52.81030444964871,55.73165153320459,94.94712103407755,64.55549370881178
1303,南亞,石化,238.0,7.44920993227991,20561804437.25,True,66.35730858468676,32.87220026350462,31.79,2026-06-01,False,26.31578947368421,26.595744680851062,-0.005345290430315086,100.0,4.263333333333328,26.608187134502927,88.18713450292398,46.783625730994146,96.78362573099415,50.70257611241218,61.813029842365474,58.989424206815514,48.54852564234715
2308,台達電,電子零組件,1910.0,14.371257485029943,20376459742.25,True,93.93776824034335,9.321475625823451,55.43,2026-06-01,False,17.105263157894736,15.757575757575756,-0.04864115832492726,75.79365079365078,7.763333333333335,16.842105263157894,80.23391812865496,27.485380116959064,46.783625730994146,61.7096018735363,46.610926222660474,77.43830787309048,40.207530184646885
2303,聯電,半導體,154.0,11.191335740072205,17525116791.125,True,81.65236051502146,20.61923583662714,22.85,2026-06-01,False,31.818181818181817,32.758620689655174,-0.01469195263369839,86.27450980392157,5.706666666666667,32.514619883040936,91.11111111111111,40.8187134502924,71.46198830409357,55.503512880562056,58.28198912582002,48.06110458284371,40.231650414716775
4958,臻鼎-KY,印刷電路板,475.5,-0.41884816753926524,16100809750.725,True,95.65450643776823,6.949934123847168,32.83,2026-06-01,False,21.428571428571427,0.5285412262156448,-0.06002917383653507,73.60681114551083,5.476666666666663,21.695906432748536,42.69005847953216,23.391812865497073,41.63742690058479,54.4496487119438,36.77297067806127,60.39952996474736,45.26070120463713
3189,景碩,印刷電路板,962.0,21.006289308176097,15901486493.1,True,78.8130185067007,22.990777338603426,32.27,2026-06-01,False,64.28571428571429,16.889428918590525,0.05169565584120138,100.0,1.5899999999999999,64.15204678362572,81.05263157894737,71.34502923976608,96.78362573099415,40.632318501170964,70.79313036690084,59.57696827262045,59.865002302073236
3008,大立光,消費性電子,6245.0,3.137902559867878,15578469477.75,True,99.6244635193133,1.6469038208168645,-10.46,2026-06-01,False,5.263157894736842,42.41733181299886,0.01775790515718547,79.96158770806659,-29.35666666666667,3.91812865497076,94.38596491228071,58.36257309941521,56.72514619883041,6.0889929742388755,43.89616116794719,6.227967097532315,18.121319259763194
8046,南電,印刷電路板,1240.0,14.28571428571428,14977771058.75,True,80.86904043452022,21.34387351778656,50.03,2026-06-01,False,59.523809523809526,14.814814814814813,-0.016587977669742373,87.63250883392226,8.256666666666668,59.76608187134504,78.71345029239765,39.88304093567251,74.15204678362574,63.34894613583138,63.17271320377447,74.32432432432432,57.38225067172436
6770,力積電,半導體,72.0,7.623318385650224,14189710443.069998,True,70.46548956661316,29.57839262187088,68.75,2026-06-01,False,44.696969696969695,9.923664122137405,-0.017870897000193574,81.17249154453214,15.393333333333338,45.614035087719294,70.76023391812866,39.1812865497076,59.53216374269006,77.28337236533957,58.474218332717044,83.54876615746181,54.483682767435624
3443,創意,半導體,8525.0,41.25932062966031,13294582087.0,True,99.94635193133047,0.230566534914361,103.72,2026-06-01,False,1.5151515151515151,87.56875687568757,0.055253528255440325,100.0,-27.180000000000007,0.7017543859649122,98.83040935672514,72.28070175438597,96.78362573099415,6.557377049180328,55.03077365545009,90.48178613396006,47.284189223548495
3017,奇鋐,電子零組件,3555.0,14.12520064205458,12921715790.5,True,96.62017167381974,5.599472990777339,66.11,2026-06-01,False,9.210526315789473,27.648114901256733,0.0946100870158115,99.57983193277312,-0.013333333333335418,8.187134502923977,88.30409356725146,83.50877192982456,93.09941520467837,35.831381733021075,61.7861593875399,82.49118683901293,48.86841074484096
2383,台光電,印刷電路板,5050.0,-1.2707722385141729,12192158957.0,True,94.63519313304721,8.26745718050066,120.69,2026-06-01,False,27.380952380952383,-3.6259541984732824,0.020382671065980355,79.52755905511812,11.043333333333337,27.89473684210526,27.251461988304094,59.53216374269006,55.67251461988304,69.67213114754098,48.004601668104684,92.12690951821386,62.110674747974514
3105,穩懋,半導體,502.0,10.572687224669597,11941424384.8,True,76.58656808379544,24.637681159420293,29.55,2026-06-01,False,37.121212121212125,37.15846994535519,0.03711894025752164,81.36142625607779,-10.029999999999998,37.6608187134503,93.33333333333333,66.78362573099416,60.11695906432749,16.159250585480095,54.81079748551707,55.58166862514688,40.00652826739784
