stock_id,name,industry,close,adv20,listed_ok,pe_hist_pct,value_pct,revenue_yoy,rev_month,bear_regime,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,composite
2466,冠西電,光電及I/O,121.0,200581303.475,True,50.678733031674206,59.638135003479476,53.03,2026-06-01,False,66.66666666666666,152.8735632183908,0.095621309327128,100.0,55.50666666666667,66.88453159041394,100.0,89.43355119825708,98.74727668845316,95.96949891067538,90.2069716775599
6574,霈方,化妝美容,134.0,10743220.05,True,23.468271334792124,79.12317327766179,73.91,2026-06-01,False,66.66666666666666,24.651162790697676,0.074551119298201,98.52941176470588,27.096666666666664,66.88453159041394,94.55337690631809,84.74945533769062,95.53376906318083,89.65141612200436,86.27450980392157
6024,群益期,期貨,65.2,27224289.76,True,39.989059080962804,67.08420320111344,124.15,2026-06-01,False,67.25228390723824,5.501618122977356,0.08589301779285403,100.0,169.84,67.75599128540306,78.43137254901961,87.58169934640523,98.74727668845316,98.69281045751634,86.24183006535948
2527,宏璟,建設,49.55,67455638.5625,True,48.6027397260274,61.02992345163535,365.12,2026-06-01,False,38.983050847457626,24.030037546933652,0.16729196550581,100.0,245.64666666666665,38.99782135076253,94.44444444444444,96.51416122004358,98.74727668845316,99.12854030501089,85.56644880174292
6782,視陽,醫療耗材,199.0,57625992.35,True,4.794520547945205,92.27557411273486,45.95,2026-06-01,False,93.75,4.736842105263158,0.1476439895352791,84.68085106382979,25.663333333333338,93.30065359477125,75.81699346405229,95.53376906318083,68.51851851851852,88.77995642701525,84.38997821350763
8383,千附,電子設備,87.1,351832214.025,True,88.99521531100478,25.191370911621437,200.07,2026-06-01,False,47.14285714285714,44.9251247920133,0.04967154978068509,96.99331848552339,105.24666666666666,46.73202614379085,97.82135076252723,77.34204793028321,93.02832244008714,97.93028322440087,82.57080610021787
4534,慶騰,機械,42.35,69198908.52000001,True,77.72511848341233,37.50869867780097,112.04,2026-06-01,False,36.36363636363637,31.114551083591348,0.08053543136097971,100.0,52.79666666666667,36.00217864923747,96.40522875816994,85.5119825708061,98.74727668845316,95.86056644880175,82.50544662309369
3356,奇偶,光電及I/O,59.6,47062634.705,True,0.6575342465753425,97.42519137091162,24.09,2026-06-01,False,98.48484848484848,2.405498281786939,0.13223117050383665,91.27105666156203,10.523333333333332,96.84095860566448,67.86492374727669,94.0087145969499,83.87799564270153,69.6078431372549,82.4400871459695
1709,和益,清潔劑,27.2,121934014.5325,True,77.40700218818381,37.856645789839945,70.14,2026-06-01,False,40.0,30.76923076923076,0.09059358836758229,96.96969696969695,43.870000000000005,39.705882352941174,96.07843137254902,88.67102396514161,92.9193899782135,94.11764705882352,82.29847494553377
6414,樺漢,電腦及週邊,400.0,616872181.15,True,74.01531728665208,41.19693806541406,56.97,2026-06-01,False,45.614035087719294,8.991825613079019,0.21453206376385436,99.00990099009901,18.843333333333334,45.20697167755991,85.62091503267973,98.36601307189542,96.18736383442265,83.00653594771242,81.67755991285404
