date,ticker,baseline_selected,u1_selected,change_type
2005-01-31,1101,True,True,UNCHANGED
2005-01-31,1313,True,True,UNCHANGED
2005-01-31,1536,True,True,UNCHANGED
2005-01-31,1704,True,True,UNCHANGED
2005-01-31,2008,True,True,UNCHANGED
2005-01-31,2315,True,True,UNCHANGED
2005-01-31,2395,True,True,UNCHANGED
2005-01-31,2524,True,True,UNCHANGED
2005-01-31,2548,True,True,UNCHANGED
2005-01-31,3042,True,True,UNCHANGED
2005-01-31,3044,True,True,UNCHANGED
2005-01-31,3211,True,True,UNCHANGED
2005-01-31,5305,True,True,UNCHANGED
2005-01-31,5905,True,True,UNCHANGED
2005-01-31,6120,True,True,UNCHANGED
2005-01-31,6213,True,True,UNCHANGED
2005-01-31,9915,True,True,UNCHANGED
2005-02-25,1102,True,True,UNCHANGED
2005-02-25,1104,True,True,UNCHANGED
2005-02-25,1227,True,True,UNCHANGED
2005-02-25,1229,True,True,UNCHANGED
2005-02-25,1301,True,True,UNCHANGED
2005-02-25,1313,True,True,UNCHANGED
2005-02-25,1326,True,True,UNCHANGED
2005-02-25,1402,True,True,UNCHANGED
2005-02-25,1410,True,True,UNCHANGED
2005-02-25,1476,True,True,UNCHANGED
2005-02-25,1517,True,True,UNCHANGED
2005-02-25,1605,True,True,UNCHANGED
2005-02-25,1701,True,True,UNCHANGED
2005-02-25,1717,True,True,UNCHANGED
2005-02-25,1723,True,True,UNCHANGED
2005-02-25,1802,True,True,UNCHANGED
2005-02-25,1902,True,True,UNCHANGED
2005-02-25,2008,True,True,UNCHANGED
2005-02-25,2031,True,True,UNCHANGED
2005-02-25,2104,True,True,UNCHANGED
2005-02-25,2206,True,True,UNCHANGED
2005-02-25,2332,True,True,UNCHANGED
2005-02-25,2395,True,True,UNCHANGED
2005-02-25,2439,True,True,UNCHANGED
2005-02-25,2482,True,True,UNCHANGED
2005-02-25,2504,True,True,UNCHANGED
2005-02-25,2511,True,True,UNCHANGED
2005-02-25,2545,True,True,UNCHANGED
2005-02-25,2548,True,True,UNCHANGED
2005-02-25,2613,True,True,UNCHANGED
2005-02-25,2887,True,True,UNCHANGED
2005-02-25,2888,True,True,UNCHANGED
2005-02-25,2908,True,True,UNCHANGED
2005-02-25,3037,True,True,UNCHANGED
2005-02-25,4904,True,True,UNCHANGED
2005-02-25,5013,True,True,UNCHANGED
2005-02-25,5508,True,True,UNCHANGED
2005-02-25,5521,True,True,UNCHANGED
2005-02-25,5603,True,True,UNCHANGED
2005-02-25,5706,True,True,UNCHANGED
2005-02-25,6005,True,True,UNCHANGED
2005-02-25,8266,True,True,UNCHANGED
2005-02-25,9911,True,True,UNCHANGED
2005-02-25,9914,True,True,UNCHANGED
2005-02-25,9942,True,True,UNCHANGED
2005-03-31,1521,True,True,UNCHANGED
2005-03-31,1723,True,True,UNCHANGED
2005-03-31,2103,True,True,UNCHANGED
2005-03-31,2354,True,True,UNCHANGED
2005-03-31,2707,True,True,UNCHANGED
2005-03-31,2849,True,True,UNCHANGED
2005-03-31,5903,True,True,UNCHANGED
2005-03-31,6206,True,True,UNCHANGED
2005-03-31,8081,True,True,UNCHANGED
2005-03-31,9914,True,True,UNCHANGED
2005-03-31,9934,True,True,UNCHANGED
2005-03-31,9943,True,True,UNCHANGED
2005-04-29,1227,True,True,UNCHANGED
2005-04-29,2328,True,True,UNCHANGED
2005-04-29,2353,True,True,UNCHANGED
2005-04-29,2548,True,True,UNCHANGED
2005-04-29,3037,True,True,UNCHANGED
2005-04-29,6223,True,True,UNCHANGED
2005-04-29,8016,True,True,UNCHANGED
2005-04-29,8078,True,True,UNCHANGED
2005-04-29,8081,True,True,UNCHANGED
2005-04-29,9942,True,True,UNCHANGED
2005-05-31,2312,True,True,UNCHANGED
2005-05-31,2321,True,True,UNCHANGED
2005-05-31,2353,True,True,UNCHANGED
2005-05-31,2384,True,True,UNCHANGED
2005-05-31,3010,True,True,UNCHANGED
2005-05-31,3018,True,True,UNCHANGED
2005-05-31,3211,True,True,UNCHANGED
2005-05-31,5464,True,True,UNCHANGED
2005-06-30,1210,True,True,UNCHANGED
2005-06-30,1227,True,True,UNCHANGED
2005-06-30,1513,True,True,UNCHANGED
2005-06-30,1530,True,True,UNCHANGED
2005-06-30,1704,True,True,UNCHANGED
2005-06-30,1715,True,True,UNCHANGED
2005-06-30,1723,True,True,UNCHANGED
2005-06-30,1734,True,True,UNCHANGED
2005-06-30,2103,True,True,UNCHANGED
2005-06-30,2108,True,True,UNCHANGED
2005-06-30,2315,True,True,UNCHANGED
2005-06-30,2353,True,True,UNCHANGED
2005-06-30,2354,True,True,UNCHANGED
2005-06-30,2392,True,True,UNCHANGED
2005-06-30,2395,True,True,UNCHANGED
2005-06-30,2404,True,True,UNCHANGED
2005-06-30,2420,True,True,UNCHANGED
2005-06-30,2438,True,True,UNCHANGED
2005-06-30,2441,True,True,UNCHANGED
2005-06-30,2486,True,True,UNCHANGED
2005-06-30,2536,True,True,UNCHANGED
2005-06-30,2707,True,True,UNCHANGED
2005-06-30,2849,True,True,UNCHANGED
2005-06-30,2851,True,True,UNCHANGED
2005-06-30,2889,True,True,UNCHANGED
2005-06-30,3018,True,True,UNCHANGED
2005-06-30,3019,True,True,UNCHANGED
2005-06-30,5460,True,True,UNCHANGED
2005-06-30,6112,True,True,UNCHANGED
2005-06-30,6139,True,True,UNCHANGED
2005-06-30,6147,True,True,UNCHANGED
2005-06-30,6176,True,True,UNCHANGED
2005-06-30,6280,True,True,UNCHANGED
2005-06-30,6505,True,True,UNCHANGED
2005-06-30,8033,True,True,UNCHANGED
2005-06-30,8070,True,True,UNCHANGED
2005-06-30,8081,True,True,UNCHANGED
2005-06-30,9930,True,True,UNCHANGED
2005-07-29,1227,True,True,UNCHANGED
2005-07-29,1535,True,True,UNCHANGED
2005-07-29,1734,True,True,UNCHANGED
2005-07-29,2312,True,True,UNCHANGED
2005-07-29,2354,True,True,UNCHANGED
2005-07-29,2384,True,True,UNCHANGED
2005-07-29,2391,True,True,UNCHANGED
2005-07-29,2395,True,True,UNCHANGED
2005-07-29,2486,True,True,UNCHANGED
2005-07-29,2849,True,True,UNCHANGED
2005-07-29,2881,True,True,UNCHANGED
2005-07-29,2886,True,True,UNCHANGED
2005-07-29,3064,True,True,UNCHANGED
2005-07-29,5457,True,True,UNCHANGED
2005-07-29,5460,True,True,UNCHANGED
2005-07-29,6120,True,True,UNCHANGED
2005-07-29,6196,True,True,UNCHANGED
2005-07-29,9908,True,True,UNCHANGED
2005-07-29,9943,True,True,UNCHANGED
2005-08-31,1227,True,True,UNCHANGED
2005-08-31,1513,True,True,UNCHANGED
2005-08-31,1530,True,True,UNCHANGED
2005-08-31,1535,True,True,UNCHANGED
2005-08-31,1540,True,True,UNCHANGED
2005-08-31,1612,True,True,UNCHANGED
2005-08-31,1722,True,True,UNCHANGED
2005-08-31,2101,True,True,UNCHANGED
2005-08-31,2104,True,True,UNCHANGED
