relpath,size_bytes,sha256,mtime_utc
個股股價、本益比2004-20260806/個股股價、本益比20260715-0806.xlsx,2666365,b000ee547bb58d8d767de41687844c69617a920d6b7ff4cb1c5d2464fe61cf63,2026-08-06T13:30:52.470176+00:00
基本資料/公司資料.xlsx,485643,c60b0aab1bcc489150bb9938a7a6ce6d8ee356f8286ef8dad478e025aa86bcce,2026-08-06T16:15:01.148592+00:00
暫停交易2004-20260806/暫停交易2004-2007/20260806072806.xlsx,21853,8fca2c5dad64f84682bd86178d2b0edfbce26635a0b41fd3399159873c4227d6,2026-08-06T11:28:14.838292+00:00
暫停交易2004-20260806/暫停交易2008-2011/20260806072856.xlsx,22254,e4f18626d628baeb4aae3906b2f32f674144c1bd130e691c3ed61e541857dc3f,2026-08-06T11:29:05.848784+00:00
暫停交易2004-20260806/暫停交易2012-2015/20260806072941.xlsx,20915,ae32edbb8e83c9d359da65b2a467afa9716cdeb32909edb4f5f9feaf293c481a,2026-08-06T11:29:51.170471+00:00
暫停交易2004-20260806/暫停交易2016-2019/20260806073039.xlsx,32441,f2a9012fce065d2f95aaea27d2cc7fa9afa00a02c3598c39715bf73b9e268260,2026-08-06T11:30:49.122797+00:00
暫停交易2004-20260806/暫停交易2020-2023/20260806073149.xlsx,27354,17145b96751bf00e3a13c2323594eda3951d6893ed95aeff7098452360d25638,2026-08-06T11:31:58.360477+00:00
暫停交易2004-20260806/暫停交易2024-20260806/20260806073303.xlsx,21536,8d2f9c2c71b269c2f7a72c0f05861ede5cbf445f447bc3ee964cb9b9d3b97d3a,2026-08-06T11:33:12.974194+00:00
月營收2004-202608/20260806091706.xlsx,33589792,237e13abae8dafbadd01881920427ef1c3f0f7da9b226f88495f770b1d0b0fab,2026-08-06T13:17:38.979251+00:00
法人回測2004-20260806/2004 法人.xlsx,26275280,cbeda8b98c989f88de406dfb358f896d18c1f092b16e4c36fdaae7c67760f842,2026-08-05T19:21:20.732171+00:00
